Step,AgentID,Total Infected
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,1
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,1
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,2
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,1
2,16,0
2,17,1
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,1
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,1
2,39,0
2,40,0
2,41,0
2,42,0
2,43,1
2,44,0
2,45,0
2,46,0
2,47,4
2,48,1
2,49,1
3,0,0
3,1,1
3,2,0
3,3,0
3,4,2
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,2
3,14,0
3,15,2
3,16,0
3,17,1
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,1
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,1
3,35,0
3,36,0
3,37,0
3,38,1
3,39,0
3,40,0
3,41,0
3,42,1
3,43,1
3,44,1
3,45,0
3,46,0
3,47,6
3,48,1
3,49,1
4,0,0
4,1,1
4,2,0
4,3,0
4,4,2
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,2
4,14,0
4,15,2
4,16,0
4,17,1
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,2
4,24,0
4,25,0
4,26,0
4,27,1
4,28,2
4,29,0
4,30,0
4,31,0
4,32,0
4,33,0
4,34,1
4,35,0
4,36,0
4,37,0
4,38,2
4,39,3
4,40,0
4,41,0
4,42,2
4,43,1
4,44,2
4,45,1
4,46,0
4,47,6
4,48,1
4,49,1
5,0,0
5,1,1
5,2,0
5,3,0
5,4,2
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,2
5,13,2
5,14,0
5,15,3
5,16,0
5,17,1
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,2
5,24,0
5,25,1
5,26,2
5,27,1
5,28,2
5,29,0
5,30,0
5,31,0
5,32,0
5,33,0
5,34,1
5,35,1
5,36,0
5,37,0
5,38,2
5,39,4
5,40,0
5,41,0
5,42,2
5,43,1
5,44,2
5,45,1
5,46,0
5,47,6
5,48,1
5,49,1
6,0,0
6,1,1
6,2,1
6,3,0
6,4,2
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,2
6,13,2
6,14,0
6,15,3
6,16,1
6,17,1
6,18,1
6,19,0
6,20,0
6,21,0
6,22,0
6,23,2
6,24,0
6,25,1
6,26,2
6,27,1
6,28,2
6,29,0
6,30,0
6,31,0
6,32,0
6,33,0
6,34,1
6,35,1
6,36,1
6,37,0
6,38,2
6,39,4
6,40,0
6,41,0
6,42,2
6,43,1
6,44,2
6,45,1
6,46,0
6,47,7
6,48,1
6,49,1
7,0,0
7,1,1
7,2,1
7,3,0
7,4,3
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,2
7,13,2
7,14,0
7,15,3
7,16,1
7,17,1
7,18,1
7,19,0
7,20,0
7,21,0
7,22,0
7,23,2
7,24,0
7,25,1
7,26,2
7,27,1
7,28,2
7,29,0
7,30,0
7,31,0
7,32,0
7,33,0
7,34,1
7,35,1
7,36,2
7,37,0
7,38,2
7,39,4
7,40,0
7,41,0
7,42,2
7,43,1
7,44,2
7,45,1
7,46,0
7,47,7
7,48,1
7,49,1
8,0,0
8,1,1
8,2,2
8,3,0
8,4,3
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,2
8,13,4
8,14,0
8,15,3
8,16,1
8,17,1
8,18,1
8,19,0
8,20,0
8,21,0
8,22,0
8,23,2
8,24,0
8,25,1
8,26,2
8,27,1
8,28,2
8,29,0
8,30,0
8,31,0
8,32,0
8,33,0
8,34,1
8,35,1
8,36,3
8,37,0
8,38,2
8,39,4
8,40,0
8,41,0
8,42,2
8,43,1
8,44,2
8,45,1
8,46,0
8,47,7
8,48,1
8,49,1
9,0,0
9,1,1
9,2,2
9,3,0
9,4,3
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,1
9,11,0
9,12,2
9,13,4
9,14,0
9,15,3
9,16,1
9,17,1
9,18,1
9,19,0
9,20,1
9,21,0
9,22,0
9,23,2
9,24,1
9,25,1
9,26,2
9,27,1
9,28,2
9,29,0
9,30,0
9,31,0
9,32,0
9,33,0
9,34,1
9,35,1
9,36,3
9,37,0
9,38,2
9,39,4
9,40,0
9,41,0
9,42,2
9,43,1
9,44,2
9,45,1
9,46,0
9,47,7
9,48,1
9,49,1
10,0,0
10,1,1
10,2,2
10,3,0
10,4,3
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,2
10,11,0
10,12,2
10,13,4
10,14,0
10,15,3
10,16,1
10,17,1
10,18,1
10,19,0
10,20,2
10,21,0
10,22,0
10,23,2
10,24,1
10,25,1
10,26,2
10,27,1
10,28,2
10,29,0
10,30,0
10,31,0
10,32,0
10,33,0
10,34,1
10,35,1
10,36,3
10,37,0
10,38,2
10,39,4
10,40,0
10,41,0
10,42,2
10,43,1
10,44,2
10,45,1
10,46,0
10,47,7
10,48,1
10,49,1
11,0,0
11,1,1
11,2,2
11,3,0
11,4,3
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,2
11,11,0
11,12,2
11,13,5
11,14,0
11,15,3
11,16,1
11,17,1
11,18,1
11,19,0
11,20,2
11,21,0
11,22,0
11,23,2
11,24,1
11,25,1
11,26,2
11,27,1
11,28,2
11,29,0
11,30,0
11,31,0
11,32,0
11,33,0
11,34,1
11,35,1
11,36,3
11,37,0
11,38,2
11,39,4
11,40,0
11,41,0
11,42,2
11,43,1
11,44,2
11,45,1
11,46,0
11,47,7
11,48,1
11,49,1
12,0,0
12,1,1
12,2,2
12,3,0
12,4,3
12,5,0
12,6,0
12,7,1
12,8,0
12,9,0
12,10,2
12,11,0
12,12,2
12,13,5
12,14,0
12,15,3
12,16,1
12,17,1
12,18,1
12,19,0
12,20,2
